store,websites,attribute_set,type,category_ids,sku,has_options,price,special_price,weight,minimal_price,msrp,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,msrp_enabled,msrp_display_actual_price_type,status,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,gift_wrapping_price,custom_design,page_layout,country_of_manufacture,gift_message_available,gift_wrapping_available,is_recurring
admin,base,Default,simple,4,GOUR0083-01,0,9,,50,,,Lychee Rose (50 gr),,,,,,,lychee-rose,lychee-rose-456.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:54,0,1,0,1,1,1,0,1,0,0,1,1,Lychee Rose (50 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0083-02,0,18,,110,,,Lychee Rose (100 gr),,,,,,,lychee-rose,lychee-rose-457.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:56,0,1,0,1,1,1,0,1,0,0,1,1,Lychee Rose (100 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0083-03,0,32.4,,220,,,Lychee Rose (200 gr) -10% Off,,,,,,,lychee-rose,lychee-rose-462.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:43:58,0,1,0,1,1,1,0,1,0,0,1,1,Lychee Rose (200 gr) -10% Off,0,simple,,,,,,,,,
admin,base,Default,grouped,4,GOUR0084,0,,,,,,Macaron Dream Black Tea,,,,,,,macaron-dream,macaron-dream.html,Block after Info Column,/,/,/,,,Disabled,"Catalog, Search",,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Macaron Dream Black Tea,0,grouped,,,,,,,,,
admin,base,Default,simple,4,GOUR0084-01,0,9,,50,,,Macaron Dream (50 gr),,,,,,,macaron-dream,macaron-dream-460.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:01,0,1,0,1,1,1,0,1,0,0,1,1,Macaron Dream (50 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0084-02,0,18,,110,,,Macaron Dream (100 gr),,,,,,,macaron-dream,macaron-dream-461.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:03,0,1,0,1,1,1,0,1,0,0,1,1,Macaron Dream (100 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0084-03,0,32.4,,220,,,Macaron Dream (200 gr) -10% Off,,,,,,,macaron-dream,macaron-dream-462.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:04,0,1,0,1,1,1,0,1,0,0,1,1,Macaron Dream (200 gr) -10% Off,0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0084-04,0,9,,50,,,Macaron Dream (50 gr),,,,,,,macaron-dream,macaron-dream-463.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:06,0,1,0,1,1,1,0,1,0,0,1,1,Macaron Dream (50 gr),0,simple,,,,,,,,,
admin,base,Default,grouped,4,GOUR0085,0,,,,,,Pu'Erh Strawberry Cr̬me Black Tea,,,,,,,puerh-strawberry-creme,puerh-strawberry-creme.html,Block after Info Column,/,/,/,,,Disabled,"Catalog, Search",,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Pu'Erh Strawberry Cr̬me Black Tea,0,grouped,,,,,,,,,
admin,base,Default,simple,4,GOUR0085-01,0,9,,50,,,Pu'Erh Strawberry Cr̬me (50 gr),,,,,,,puerh-strawberry-creme,puerh-strawberry-creme-465.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:09,0,1,0,1,1,1,0,1,0,0,1,1,Pu'Erh Strawberry Cr̬me (50 gr),0,simple,,,,,,,,,
