"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","gallery","url_key","url_path","options_container","image_label","small_image_label","thumbnail_label","msrp_enabled","msrp_display_actual_price_type","ingredients","temperature","amount_of_water","time","nice_flowery_sentence","brewing","status","visibility","tax_class_id","price","special_price","weight","minimal_price","msrp","gift_wrapping_price","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","page_layout","gift_message_available","gift_wrapping_available","is_recurring","custom_design","country_of_manufacture","is_new","is_featured","is_best_selling","is_promotion"
"admin","base","Default","simple","56","GC0026","0","Jasmine Silver Monkey","","","","","","","jasmine-silver-monkey","jasmine-silver-monkey.html","Block after Info Column","/","/","/","Use config","Use config","","96-98乎C","2g for 200ml","3-5 mins","","","Disabled","Catalog, Search","Taxable Goods","68.0000","","60.0000","","","","test description","test description","","","2014-01-27 00:00:00","2014-02-02 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-05-22 10:03:26","0.0000","1","0","1","1","1","0.0000","1","0","0","1","1","Jasmine Silver Monkey","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","4,5,6,7,11,15,21,23,56,88,91","GC0005","0","Jasmine Winter Flakes","","","","","","","jasmine-winter-flakes","jasmine-winter-flakes.html","Block after Info Column","","","","Use config","Use config","Imperial Autumnal harvest of fine tippy green tea, with Jasmine flowers.","70-80乎C","2g for 200ml","3-4 mins","A refined brew pure as winter snow, and light as drifting snowflakes. ","","Enabled","Catalog, Search","Taxable Goods","48.0000","39.4000","60.0000","","","","test description","test description","","","2014-01-13 00:00:00","2014-01-19 00:00:00","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","0","0","1","0.0000","1","0","0","0","1","Jasmine Winter Flakes","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","56","ACC0003","0","Jenaer Glas Concept 1.3l Teapot","","","","","","","jenaer-glas-concept-1-3l-teapot","jenaer-glas-concept-1-3l-teapot.html","Block after Info Column","","","","Use config","Use config","","","","","An ideal tool for the tea connoisseur, Jenaer Glas is flavor-neutral and does not discolour. Jenaer Glas芫｢ resistance to extreme temperatures make it a valuable companion to enjoy your beverage with. Jenaer Glas products are dishwasher-friendly.  ","","Disabled","Catalog, Search","Taxable Goods","128.0000","","660.0000","","","","Combining aesthetic appeal with functionality, each piece from the Jenaer Glas Concept series has been intricately designed to suit the needs of the modern kitchen.","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jenaer Glas Concept 1.3l Teapot","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","56","ACC0007","0","Jenaer Glas Concept 5oz Tea Cup Set","","","","","","","jenaer-glas-gourmet-5oz-tea-cup-set","jenaer-glas-gourmet-5oz-tea-cup-set.html","Block after Info Column","","","","Use config","Use config","","","","","An ideal tool for the tea connoisseur, Jenaer Glas is flavor-neutral and does not discolour. A mix of stainless steel and glass, Jenaer Glas芫｢ resistance to extreme temperatures make it a valuable companion to enjoy your beverage with. Jenaer Glas product","","Disabled","Catalog, Search","Taxable Goods","45.0000","","390.0000","","","","Finer appreciation of beverages with this modern line of beverage accessories for the tea enthusiast.  Various designed forms open up the palate to the nuances among different teas.","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","0","","1.0000","1","1","0","0","1","0.0000","1","0","0","0","1","Jenaer Glas Concept 5oz Tea Cup Set","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","56","ACC0005","0","Jenaer Glas Good Mood 1.0l Teapot","","","","","","","jenaer-glas-good-mood-1-5l-teapot","jenaer-glas-good-mood-1-5l-teapot.html","Block after Info Column","","","","Use config","Use config","","","","","An ideal tool for the tea connoisseur, Jenaer Glas is flavor-neutral and does not discolour. Jenaer Glas芫｢ resistance to extreme temperatures make it a valuable companion to enjoy your beverage with. Jenaer Glas products are dishwasher-friendly.  ","","Disabled","Catalog, Search","Taxable Goods","108.0000","","500.0000","","","","Finer appreciation of beverages with this modern line of beverage accessories for the tea enthusiast.  Various specially-designed forms open up the palate to the nuances among different teas.","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jenaer Glas Good Mood 1.0l Teapot","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","56","ACC0006","0","Jenaer Glas Good Mood Single Serve 0.4l Teapot","","","","","","","jenaer-glas-good-mood-single-serve-teapot","jenaer-glas-good-mood-single-serve-teapot.html","Block after Info Column","","","","Use config","Use config","","","","","An ideal tool for the tea connoisseur, Jenaer Glas is flavor-neutral and does not discolour. Jenaer Glas芫｢ resistance to extreme temperatures make it a valuable companion to enjoy your beverage with. Jenaer Glas products are dishwasher-friendly.  ","","Disabled","Catalog, Search","Taxable Goods","78.0000","","420.0000","","","","Finer appreciation of beverages with this modern line of beverage accessories for the tea enthusiast.  Various designed forms open up the palate to the nuances among different teas.","test description","","","","","","","","","97.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jenaer Glas Good Mood Single Serve 0.4l Teapot","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","56","ACC0002","0","Jenaer Glas Gourmet 0.4l Teapot","","","","","","","jenaer-glas-concept-0-4l-teapot","jenaer-glas-concept-0-4l-teapot.html","Block after Info Column","","","","Use config","Use config","","","","","An ideal tool for the tea connoisseur, Jenaer Glas is flavor-neutral and does not discolour. Jenaer Glas芫｢ resistance to extreme temperatures make it a valuable companion to enjoy your beverage with. Jenaer Glas products are dishwasher-friendly.  ","","Disabled","Catalog, Search","Taxable Goods","98.0000","","420.0000","","","","Combining aesthetic appeal with functionality, each piece from the Jenaer Glas Concept series has been intricately designed to suit the needs of the modern kitchen.","test description","","","","","","","","","97.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jenaer Glas Gourmet 0.4l Teapot","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","56","ACC0012","0","Jenaer Glas Gourmet 1.5l Teapot","","","","","","","jenaer-glas-concept-1-5l-teapot","jenaer-glas-concept-1-5l-teapot.html","Block after Info Column","","","","Use config","Use config","","","","","An ideal tool for the tea connoisseur, Jenaer Glas is flavor-neutral and does not discolour. Jenaer Glas芫｢ resistance to extreme temperatures make it a valuable companion to enjoy your beverage with. Jenaer Glas products are dishwasher-friendly.  ","","Disabled","Catalog, Search","Taxable Goods","188.0000","","640.0000","","","","Combining aesthetic appeal with functionality, each piece from the Jenaer Glas Concept series has been intricately designed to suit the needs of the modern kitchen.","test description","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2015-05-22 10:03:45","0.0000","1","0","1","1","1","0.0000","1","0","0","1","1","Jenaer Glas Gourmet 1.5l Teapot","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","56","ACC0004","0","Jenaer Glas Gourmet 5oz Tea Cup Set","","","","","","","jenaer-glas-concept-5oz-tea-cup-set","jenaer-glas-concept-5oz-tea-cup-set.html","Block after Info Column","","","","Use config","Use config","","","","","An ideal tool for the tea connoisseur, Jenaer Glas is flavor-neutral and does not discolour. Jenaer Glas芫｢ resistance to extreme temperatures make it a valuable companion to enjoy your beverage with. Jenaer Glas products are dishwasher-friendly.  ","","Disabled","Catalog, Search","Taxable Goods","60.0000","","350.0000","","","","Combining aesthetic appeal with functionality, each piece from the Jenaer Glas Concept series has been intricately designed to suit the needs of the modern kitchen.","test description","","","2013-04-24 00:00:00","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jenaer Glas Gourmet 5oz Tea Cup Set","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","5,6,7,16,21,56,66,81,84,93,95","GOUR0004-01","0","Jour de Fete (10 gr)","","","","","","","jour-de-fete","jour-de-fete.html","Block after Info Column","","","","Use config","Use config","Black tea blend of candied orange, spices, and a sprinkling of gold dust.","96-98乎C","2g for 200ml","3-5 mins","Spread a little festive cheer with spices and sprightly flavours. A dash of gold to brighten up the atmosphere.","","Disabled","Not Visible Individually","Taxable Goods","5.0000","","20.0000","","","","test description","test description","","","","","","","","","99.0000","0.0000","1","0","0","1","1.0000","1","10000.0000","1","1","","1.0000","1","1","1","0","1","0.0000","1","0","0","0","1","Jour de Fete (10 gr)","0","simple","","","","","","","","","","","",""
